4.8.1.3. Az alkoholisták gondozása (Archív tábla, nem frissül tovább.);;;;;;
Év;Az alkoholisták becsült száma, ezer;Nyilvántartott alkoholista férfi;Nyilvántartott alkoholista nő;Nyilvántartott alkoholista ismeretlen;Nyilvántartott alkoholista összesen;Tízezer lakosra jutó nyilvántartott alkoholista
1997;808;38 349;10 746;–;49 095;48
1998;860;38 568;11 405;–;49 973;49
1999;866;36 403;10 840;–;47 243;47
2000;829;32 326;9 946;–;42 272;41
2001;755;30 318;9 046;–;39 364;39
2002;718;26 554;8 973;–;35 527;35
2003;718;26 296;8 776;–;35 072;35
2004;692;24 340;8 879;–;33 219;33
2005;432;24 470;8 418;–;32 888;33
2006;509;21 682;7 340;–;29 022;29
2007;490;18 778;7 262;–;26 040;25
2008;539;14 301;5 670;181;20 152;20
2009;559;11 178;3 893;–;15 071;15
2010;522;13 772;4 856;356;18 984;19
2011;475;11 675;3 907;453;16 035;16
2012;434;8 108;3 277;–;11 385;11
2013;390;8 651;3 392;370;12 413;13
2014;408;11 188;3 556;–;14 744;15
2015;393;11 329;4 354;–;15 683;16
2016;375;12 952;5 033;–;17 985;18
2017;379;10 753;3 893;646;15 292;16
